participantId,task_id,tlx,High_Load,shap_cluster
p-0001,task_1_form,28.3,0,0
p-0001,task_2_product,40.0,0,0
p-0001,task_3_travel,71.7,1,1
p-0002,task_1_form,28.3,0,0
p-0002,task_2_product,33.3,0,0
p-0002,task_3_travel,63.3,1,1
p-0003,task_1_form,26.7,0,0
p-0003,task_2_product,78.3,1,0
p-0003,task_3_travel,50.0,0,0
p-0004,task_1_form,25.0,0,0
p-0004,task_2_product,53.3,0,0
p-0004,task_3_travel,76.7,1,1
p-0005,task_1_form,36.7,0,0
p-0005,task_2_product,56.7,0,0
p-0005,task_3_travel,66.7,1,1
p-0006,task_1_form,48.3,0,0
p-0006,task_2_product,45.0,0,0
p-0006,task_3_travel,80.0,1,1
p-0007,task_1_form,33.3,0,0
p-0007,task_2_product,51.7,0,0
p-0007,task_3_travel,80.0,1,1
p-0008,task_1_form,28.3,0,0
p-0008,task_2_product,25.0,0,0
p-0008,task_3_travel,63.3,1,1
p-0009,task_1_form,40.0,0,0
p-0009,task_2_product,45.0,0,0
p-0009,task_3_travel,58.3,0,0
p-0010,task_1_form,23.3,0,0
p-0010,task_2_product,51.7,0,0
p-0010,task_3_travel,60.0,0,0
p-0011,task_1_form,36.7,0,0
p-0011,task_2_product,58.3,0,0
p-0011,task_3_travel,81.7,1,1
p-0012,task_1_form,43.3,0,0
p-0012,task_2_product,65.0,1,0
p-0012,task_3_travel,83.3,1,1
p-0013,task_1_form,13.3,0,0
p-0013,task_2_product,40.0,0,0
p-0013,task_3_travel,38.3,0,0
p-0014,task_1_form,30.0,0,0
p-0014,task_2_product,56.7,0,0
p-0014,task_3_travel,56.7,0,0
p-0015,task_1_form,33.3,0,0
p-0015,task_2_product,23.3,0,0
p-0015,task_3_travel,63.3,1,1
p-0016,task_1_form,26.7,0,0
p-0016,task_2_product,46.7,0,0
p-0016,task_3_travel,63.3,1,1
p-0017,task_1_form,25.0,0,0
p-0017,task_2_product,65.0,1,0
p-0017,task_3_travel,56.7,0,0
p-0018,task_1_form,25.0,0,0
p-0018,task_2_product,26.7,0,0
p-0018,task_3_travel,73.3,1,1
p-0019,task_1_form,48.3,0,0
p-0019,task_2_product,30.0,0,0
p-0019,task_3_travel,71.7,1,1
p-0020,task_1_form,30.0,0,0
p-0020,task_2_product,43.3,0,0
p-0020,task_3_travel,70.0,1,1
p-0021,task_1_form,26.7,0,0
p-0021,task_2_product,60.0,0,0
p-0021,task_3_travel,78.3,1,1
p-0022,task_1_form,30.0,0,0
p-0022,task_2_product,41.7,0,0
p-0022,task_3_travel,78.3,1,1
p-0023,task_1_form,16.7,0,0
p-0023,task_2_product,20.0,0,0
p-0023,task_3_travel,46.7,0,0
p-0024,task_1_form,51.7,0,0
p-0024,task_2_product,56.7,0,0
p-0024,task_3_travel,58.3,0,0
p-0025,task_1_form,33.3,0,0
p-0025,task_2_product,26.7,0,0
p-0025,task_3_travel,73.3,1,1
