left_out,acc,precision,recall,f1,roc_auc
p-0001,1.0,1.0,1.0,1.0,1.0
p-0002,1.0,1.0,1.0,1.0,1.0
p-0003,0.6666666666666666,0.0,0.0,0.0,0.5
p-0004,1.0,1.0,1.0,1.0,1.0
p-0005,1.0,1.0,1.0,1.0,1.0
p-0006,1.0,1.0,1.0,1.0,1.0
p-0007,1.0,1.0,1.0,1.0,1.0
p-0008,1.0,1.0,1.0,1.0,1.0
p-0009,1.0,0.0,0.0,0.0,
p-0010,1.0,0.0,0.0,0.0,
p-0011,1.0,1.0,1.0,1.0,1.0
p-0012,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0
p-0013,1.0,0.0,0.0,0.0,
p-0014,1.0,0.0,0.0,0.0,
p-0015,1.0,1.0,1.0,1.0,1.0
p-0016,1.0,1.0,1.0,1.0,1.0
p-0017,0.6666666666666666,0.0,0.0,0.0,0.5
p-0018,1.0,1.0,1.0,1.0,1.0
p-0019,1.0,1.0,1.0,1.0,1.0
p-0020,1.0,1.0,1.0,1.0,1.0
p-0021,1.0,1.0,1.0,1.0,1.0
p-0022,1.0,1.0,1.0,1.0,1.0
p-0023,1.0,0.0,0.0,0.0,
p-0024,1.0,0.0,0.0,0.0,
p-0025,1.0,1.0,1.0,1.0,1.0
